"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 08:32:19 GMT 2022","Wed Jul 13 08:32:22 GMT 2022","3402","Surefire suite","Surefire test","com.aod.tests.UserTests","com.aod.tests.UserTests","insertAUser","insertAUser",""
"passed","Wed Jul 13 08:32:23 GMT 2022","Wed Jul 13 08:32:23 GMT 2022","136","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","testMutation","testMutation",""
"passed","Wed Jul 13 08:32:24 GMT 2022","Wed Jul 13 08:32:24 GMT 2022","474","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","testWithParameterPOJOClass","testWithParameterPOJOClass",""
"passed","Wed Jul 13 08:32:23 GMT 2022","Wed Jul 13 08:32:23 GMT 2022","126","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","getAShipTest","getAShipTest",""
"passed","Wed Jul 13 08:32:23 GMT 2022","Wed Jul 13 08:32:23 GMT 2022","100","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","getCompanyData_checkCeo_shouldBeElonMusk","getCompanyData_checkCeo_shouldBeElonMusk",""
"passed","Wed Jul 13 08:32:22 GMT 2022","Wed Jul 13 08:32:23 GMT 2022","188","Surefire suite","Surefire test","com.aod.tests.UserTests","com.aod.tests.UserTests","updateUser","updateUser",""
"passed","Wed Jul 13 08:32:23 GMT 2022","Wed Jul 13 08:32:24 GMT 2022","472","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","testWithParameterJSONObject","testWithParameterJSONObject",""
