"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 08:14:06 GMT 2022","Wed Jul 13 08:14:06 GMT 2022","421","Surefire suite","Surefire test","com.aod.tests.UserTests","com.aod.tests.UserTests","updateUser","updateUser",""
"passed","Wed Jul 13 08:14:01 GMT 2022","Wed Jul 13 08:14:06 GMT 2022","4783","Surefire suite","Surefire test","com.aod.tests.UserTests","com.aod.tests.UserTests","insertAUser","insertAUser",""
"passed","Wed Jul 13 08:14:06 GMT 2022","Wed Jul 13 08:14:06 GMT 2022","218","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","getCompanyData_checkCeo_shouldBeElonMusk","getCompanyData_checkCeo_shouldBeElonMusk",""
"passed","Wed Jul 13 08:14:06 GMT 2022","Wed Jul 13 08:14:06 GMT 2022","258","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","getAShipTest","getAShipTest",""
"passed","Wed Jul 13 08:14:07 GMT 2022","Wed Jul 13 08:14:07 GMT 2022","687","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","testWithParameterJSONObject","testWithParameterJSONObject",""
"passed","Wed Jul 13 08:14:07 GMT 2022","Wed Jul 13 08:14:08 GMT 2022","592","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","testWithParameterPOJOClass","testWithParameterPOJOClass",""
"passed","Wed Jul 13 08:14:07 GMT 2022","Wed Jul 13 08:14:07 GMT 2022","272","Surefire suite","Surefire test","com.aod.tests.MyTests","com.aod.tests.MyTests","testMutation","testMutation",""
